task,n,k,threads,schedule,chunk,trial,time
A,100000,24,2,dynamic,1,2,0.186836
A,100000,24,2,dynamic,1,3,0.182433
A,100000,24,2,dynamic,1,4,0.183001
A,100000,24,2,dynamic,1,5,0.183733
A,100000,24,2,dynamic,4,1,0.192691
A,100000,24,2,dynamic,4,2,0.255364
A,100000,24,2,dynamic,4,3,0.185845
A,100000,24,2,dynamic,4,4,0.183423
A,100000,24,2,dynamic,4,5,0.184459
A,100000,24,2,dynamic,16,1,0.185802
A,100000,24,2,dynamic,16,2,0.187863
A,100000,24,2,dynamic,16,3,0.183831
A,100000,24,2,dynamic,16,4,0.185584
A,100000,24,2,dynamic,16,5,0.182805
A,100000,24,2,dynamic,64,1,0.183302
A,100000,24,2,dynamic,64,2,0.184785
A,100000,24,2,dynamic,64,3,0.184511
A,100000,24,2,dynamic,64,4,0.207101
A,100000,24,2,dynamic,64,5,0.183712
A,100000,24,2,guided,1,1,0.189664
A,100000,24,2,guided,1,2,0.189879
A,100000,24,2,guided,1,3,0.200329
A,100000,24,2,guided,1,4,0.183291
A,100000,24,2,guided,1,5,0.188419
A,100000,24,2,guided,4,1,0.184885
A,100000,24,2,guided,4,2,0.185670
A,100000,24,2,guided,4,3,0.186096
A,100000,24,2,guided,4,4,0.271505
A,100000,24,2,guided,4,5,0.183669
A,100000,24,2,guided,16,1,0.201052
A,100000,24,2,guided,16,2,0.210685
A,100000,24,2,guided,16,3,0.198203
A,100000,24,2,guided,16,4,0.201784
A,100000,24,2,guided,16,5,0.209862
A,100000,24,2,guided,64,1,0.184738
A,100000,24,2,guided,64,2,0.182860
A,100000,24,2,guided,64,3,0.188553
A,100000,24,2,guided,64,4,0.182757
A,100000,24,2,guided,64,5,0.183706
A,100000,24,4,static,auto,1,0.127841
A,100000,24,4,static,auto,2,0.093595
A,100000,24,4,static,auto,3,0.096190
A,100000,24,4,static,auto,4,0.103031
A,100000,24,4,static,auto,5,0.097007
A,100000,24,4,dynamic,1,1,0.099514
A,100000,24,4,dynamic,1,2,0.094305
A,100000,24,4,dynamic,1,3,0.096993
A,100000,24,4,dynamic,1,4,0.113349
A,100000,24,4,dynamic,1,5,0.093929
A,100000,24,4,dynamic,4,1,0.098693
A,100000,24,4,dynamic,4,2,0.092281
A,100000,24,4,dynamic,4,3,0.092337
A,100000,24,4,dynamic,4,4,0.095191
